mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	I/mA	cycle number	(Q-Qo)/C	P/W	
2	1	0	0	0	0.000000000000000E+000	-9.9695027E-001	-9.9733710E-001	0	1.000000000000000E+000	0.0000000E+000	3.5357116E-005
2	1	0	0	0	1.099999972211663E-002	-9.9640054E-001	-9.9672091E-001	0	1.000000000000000E+000	-3.5094294E-007	3.5118799E-005
2	1	0	0	0	3.099999921687413E-002	-9.9540043E-001	-9.9573010E-001	0	1.000000000000000E+000	-9.1346374E-007	2.8883718E-005
2	1	0	0	0	5.099999871163163E-002	-9.9440026E-001	-9.9470305E-001	0	1.000000000000000E+000	-1.3795608E-006	2.5022320E-005
2	1	0	0	0	7.099999820638914E-002	-9.9340028E-001	-9.9371558E-001	0	1.000000000000000E+000	-1.7844463E-006	2.2011534E-005
2	1	0	0	0	1.069999972969526E-001	-9.9159998E-001	-9.9189180E-001	0	1.000000000000000E+000	-2.5213135E-006	1.8231207E-005
2	1	0	0	0	1.429999963875161E-001	-9.8979986E-001	-9.9005538E-001	0	1.000000000000000E+000	-3.2057821E-006	1.3704765E-005
2	1	0	0	0	1.629999958822737E-001	-9.8879981E-001	-9.8903483E-001	0	1.000000000000000E+000	-3.4705267E-006	1.2811161E-005
2	1	0	0	0	1.829999953770312E-001	-9.8779982E-001	-9.8803544E-001	0	1.000000000000000E+000	-3.7194977E-006	1.1976695E-005
2	1	0	0	0	2.029999948717887E-001	-9.8679966E-001	-9.8703510E-001	0	1.000000000000000E+000	-3.9536571E-006	1.1299535E-005
2	1	0	0	0	2.229999943665462E-001	-9.8579961E-001	-9.8606652E-001	0	1.000000000000000E+000	-4.1745457E-006	1.0745529E-005
2	1	0	0	0	2.429999938613037E-001	-9.8479950E-001	-9.8508310E-001	0	1.000000000000000E+000	-4.3850600E-006	1.0226868E-005
2	1	0	0	0	2.629999933560612E-001	-9.8379934E-001	-9.8405290E-001	0	1.000000000000000E+000	-4.5860179E-006	9.7406391E-006
2	1	0	0	0	2.829999928508187E-001	-9.8279929E-001	-9.8300791E-001	0	1.000000000000000E+000	-4.7779854E-006	9.2978034E-006
2	1	0	0	0	3.029999923455762E-001	-9.8179930E-001	-9.8206264E-001	0	1.000000000000000E+000	-4.9612458E-006	8.9007726E-006
2	1	0	0	0	3.229999918403337E-001	-9.8079914E-001	-9.8103786E-001	0	1.000000000000000E+000	-5.1378461E-006	8.6493083E-006
2	1	0	0	0	3.429999913350912E-001	-9.7979909E-001	-9.8003846E-001	0	1.000000000000000E+000	-5.3077092E-006	8.2727947E-006
2	1	0	0	0	3.629999908298487E-001	-9.7879899E-001	-9.7903168E-001	0	1.000000000000000E+000	-5.4725833E-006	7.9911233E-006
2	1	0	0	0	3.829999903246062E-001	-9.7779894E-001	-9.7809178E-001	0	1.000000000000000E+000	-5.6308550E-006	7.7337882E-006
2	1	0	0	0	4.029999898193637E-001	-9.7679883E-001	-9.7704571E-001	0	1.000000000000000E+000	-5.7846137E-006	7.4159402E-006
2	1	0	0	0	4.229999893141212E-001	-9.7579867E-001	-9.7610050E-001	0	1.000000000000000E+000	-5.9326721E-006	7.2816865E-006
2	1	0	0	0	4.429999888088787E-001	-9.7479856E-001	-9.7502154E-001	0	1.000000000000000E+000	-6.0763095E-006	6.9937309E-006
