EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	1	0	0	0	0.000000000000000E+000	-9.9704546E-001	-9.9733979E-001	-9.688249230384827E-002	1.000000000000000E+000	0.0000000E+000	-2.1966226E-001	9.6624761E-005	-7.7767754E-001
2	1	0	0	0	1.099999972211663E-002	-9.9649554E-001	-9.9684912E-001	-9.436535394828094E-002	1.000000000000000E+000	-1.0413283E-006	-1.8810382E-001	9.4068018E-005	-8.0874527E-001
2	1	0	0	0	3.099999921687413E-002	-9.9549532E-001	-9.9587363E-001	-9.078571415739067E-002	1.000000000000000E+000	-2.8906418E-006	-1.3399021E-001	9.0411093E-005	-8.6188340E-001
2	1	0	0	0	5.099999871163163E-002	-9.9449509E-001	-9.9483234E-001	-8.828192318065264E-002	1.000000000000000E+000	-4.6798218E-006	-8.5933022E-002	8.7825712E-005	-9.0889931E-001
2	1	0	0	0	7.099999820638914E-002	-9.9349481E-001	-9.9382722E-001	-8.641166018141022E-002	1.000000000000000E+000	-6.4257720E-006	-4.2982876E-002	8.5878266E-005	-9.5084435E-001
2	1	0	0	0	9.099999770114664E-002	-9.9249458E-001	-9.9281991E-001	-8.497206264615209E-002	1.000000000000000E+000	-8.1385824E-006	-4.1485224E-003	8.4361956E-005	-9.8867136E-001
2	1	0	0	0	1.109999971959041E-001	-9.9149436E-001	-9.9185604E-001	-8.374460693448788E-002	1.000000000000000E+000	-9.8246664E-006	3.1793971E-002	8.3062594E-005	-1.0236501E+000
2	1	0	0	0	1.309999966906616E-001	-9.9049419E-001	-9.9084872E-001	-8.267176333659620E-002	1.000000000000000E+000	-1.1487873E-005	6.4959370E-002	8.1915212E-005	-1.0558081E+000
2	1	0	0	0	1.509999961854192E-001	-9.8949397E-001	-9.8983401E-001	-8.176977648529093E-002	1.000000000000000E+000	-1.3131418E-005	9.3252830E-002	8.0938509E-005	-1.0830868E+000
2	1	0	0	0	1.709999956801767E-001	-9.8849374E-001	-9.8886603E-001	-8.107843841814133E-002	1.000000000000000E+000	-1.4759224E-005	1.1818348E-001	8.0175712E-005	-1.1070495E+000
2	1	0	0	0	1.909999951749342E-001	-9.8749352E-001	-9.8784375E-001	-8.048902302592376E-002	1.000000000000000E+000	-1.6374519E-005	1.4076695E-001	7.9510581E-005	-1.1286107E+000
2	1	0	0	0	2.109999946696917E-001	-9.8649323E-001	-9.8683435E-001	-8.017044354669955E-002	1.000000000000000E+000	-1.7980599E-005	1.6013600E-001	7.9114950E-005	-1.1469704E+000
2	1	0	0	0	2.309999941644492E-001	-9.8549300E-001	-9.8582816E-001	-7.986671909586418E-002	1.000000000000000E+000	-1.9580471E-005	1.7904814E-001	7.8734862E-005	-1.1648763E+000
2	1	0	0	0	2.509999936592067E-001	-9.8449278E-001	-9.8484957E-001	-7.940574124869371E-002	1.000000000000000E+000	-2.1172769E-005	1.9678085E-001	7.8202705E-005	-1.1816304E+000
2	1	0	0	0	2.709999931539642E-001	-9.8349255E-001	-9.8385811E-001	-7.886149111436669E-002	1.000000000000000E+000	-2.2754901E-005	2.1319763E-001	7.7588513E-005	-1.1970557E+000
2	1	0	0	0	2.909999926487217E-001	-9.8249227E-001	-9.8284858E-001	-7.834535357283623E-002	1.000000000000000E+000	-2.4326398E-005	2.2835867E-001	7.7001620E-005	-1.2112073E+000
2	1	0	0	0	3.109999921434792E-001	-9.8149204E-001	-9.8187625E-001	-7.783840679460075E-002	1.000000000000000E+000	-2.5887795E-005	2.4280673E-001	7.6427685E-005	-1.2246830E+000
